Visitor,Home,Week,Winner,HDAVE,VDAVE,HOff,VOff,HDef,VDef,HTotal,VTotal,HSpec,VSpec,log(HDAVE),log(VDAVE),14HPyth,14HEst,14HOff,14HDef,14HTotal,14VPyth,14VEst,14VOff,14VDef,14VTotal,Home Cushion,Spread,Open Spread,HWin,VWin
Chargers,@Vikings,3,1,-1.2,3.4,-5.7,10.6,-12.6,-6.1,-18.9,-4.7,-0.6,-9.2,3.484312288,3.493472658,7.5,7.2,-7.4,-4.3,-8.7,8,8,7,-4.9,-0.6,15,-2,-3,0.5,0.5
Steelers,@Rams,3,0,5.7,15.9,-8.5,55.4,4.5,-10,-1.1,40.3,2.9,-5.1,3.676300672,3.815512105,7.1,6.1,-11.1,3.8,-3.8,9.7,9.4,22.5,-11.3,12.1,-7,-1,-1,0.5,0.5
49ers,@Cardinals,3,1,17.8,-11,59.3,0.3,13.6,-26.3,85.2,-33.6,12.3,-7.6,3.943521672,2.917770732,8.3,7.4,-9.3,5,-6.4,7,9,-0.4,10.1,6.6,33,-7,-6.5,1,0.5
Bills,@Dolphins,3,0,-1.6,-2.8,3.8,12.2,-0.7,-14.4,4.6,5.3,1.5,7.5,3.471966453,3.284663565,8.4,8.8,10.1,-0.5,3.5,9.6,9,-11.2,15.5,10.5,-27,0,-3,0.5,0.5
Bears,@Seahawks,3,1,13,-23.1,-5.6,-15.9,-16.6,-48.1,-18,-69,4.2,-5,3.845883203,1.85629799,11.9,12.7,16.8,16.8,31.9,4.9,6.4,-0.1,-10.6,-13.8,10,-16,-15,0,0
Broncos,@Lions,3,0,-0.3,17.8,-4.1,-32.2,-8.8,48.1,-13.3,26.3,-0.4,10.4,3.511545439,3.856510295,9.2,8.7,-3.8,13.9,4.4,11,13.3,20,13.2,29.5,-9,3,3,0,1
Chiefs,@Packers,3,1,15.5,5.7,35.9,-11.5,-6.8,14,35.8,6.3,6.7,3.8,3.897924081,3.561046083,11.2,10.8,24.7,1,23.3,10.1,9.4,5,-1.3,10.4,5,-5,-6.5,1,0.5
Ravens,@Steelers,4,NA,11.6,-1,32.8,-4.8,-3.7,-7.3,24.8,-9.8,-4.3,2.3,3.815512105,3.349904087,9.7,9.4,22.5,-11.3,12.1,10.9,11.5,9.4,4.6,21.9,0,3,2,0.667,0
Jets,@Dolphins,4,0,-13.3,7.5,-17.3,-11.9,-11.3,34.5,-27.9,18.5,0.7,-4.1,3.020424886,3.610917913,8.4,8.8,10.1,-0.5,3.5,4.8,5.9,-11.2,-3.5,-15.5,-10,3,-1,0.333,0.667
Jaguars,@Colts,4,0,-2.7,-21.4,-8.7,-11.2,-1.5,-15.7,-14.8,-29.3,-4.6,-2.4,3.437207819,2.091864062,10.2,8.8,-1.1,2.3,4.5,3.6,3.3,-24.3,-1.5,-29.5,-1,-4,-8.5,0.333,0.333
Giants,@Bills,4,0,8.2,0.3,26.5,6.9,-0.1,-3.2,28.8,5.5,2.4,1.8,3.737669618,3.394508394,9.6,9,-11.2,15.5,10.5,7.5,7,-0.3,-4.9,-5.8,-20.5,-6.5,-5.5,0.667,0.333
Panthers,@Buccaneers,4,0,-23.9,6.1,-38.4,10.7,2.1,21,-37.5,20.3,-1.2,-11.4,2.292534757,3.572345638,4.4,4.1,-26.3,-1.1,-28.3,7,7.4,-4.7,1.7,-8.5,-11,3,3,0.333,1
Eagles,@Redskins,4,1,-13.3,1.7,-4,-18.3,0.9,17.4,-3.8,-2.5,-0.7,-1.6,3.020424886,3.440418095,4.5,4.4,-11.8,-9.9,-27,9.7,9.7,1.1,3.3,12.8,6,3,3,0.667,0.333
Raiders,@Bears,4,1,-32.8,-4,-21.6,12.8,-36,-11.4,-70.2,5.1,-12.6,3.7,0,3.238678452,4.9,6.4,-0.1,-10.6,-13.8,3.1,4.8,-19.4,-6.3,-27.4,5,3,2,0,0.667
Texans,@Falcons,4,1,7.7,-15.5,23.2,-17,-9.8,-1.2,14.7,-30.9,1.3,-12.7,3.725693427,2.63905733,7.1,7.2,7.2,-15.7,-5.4,9.8,6.7,-6.8,6.2,-4.5,17,-4,-5,1,0.333
Chiefs,@Bengals,4,1,18.2,-2.3,26.5,-13.7,11.8,-2.5,36,-13.9,-2.3,2.3,3.951243719,3.303216973,8.6,9,-1.4,2.3,5,10.1,9.4,5,-1.3,10.4,11.5,-3.5,-4,1,0.333
