Visitor,Home,Week,Winner,HDAVE,VDAVE,HOff,VOff,HDef,VDef,HTotal,VTotal,HSpec,VSpec,14HPyth,14HEst,14HOff,14HDef,14HTotal,14VPyth,14VEst,14VOff,14VDef,14VTotal
Bears,@Chiefs,5,NA,,,,,,,,,,,10.1,9.4,5,-1.3,10.4,4.9,6.4,-0.1,-10.6,-13.8
Seahawks,@Bengals,5,NA,,,,,,,,,,,8.6,9,-1.4,2.3,5,11.9,12.7,16.8,16.8,31.9
Redskins,@Falcons,5,NA,,,,,,,,,,,7.1,7.2,7.2,-15.7,-5.4,4.5,4.4,-11.8,-9.9,-27
Jaguars,@Buccaneers,5,NA,,,,,,,,,,,4.4,4.1,-26.3,-1.1,-28.3,3.6,3.3,-24.3,-1.5,-29.5
Saints,@Eagles,5,NA,,,,,,,,,,,9.7,9.7,1.1,3.3,12.8,7.4,7.6,10.6,-13.1,-0.9
Browns,@Ravens,5,NA,,,,,,,,,,,10.9,11.5,9.4,4.6,21.9,6.9,7.2,-10.2,3,-6.7
Rams,@Packers,5,NA,,,,,,,,,,,11.2,10.8,24.7,1,23.3,7.1,6.1,-11.1,3.8,-3.8
Bills,@Titans,5,NA,,,,,,,,,,,3.3,4,-16.4,-11.2,-29.3,9.6,9,-11.2,15.5,10.5
Cardinals,@Lions,5,NA,,,,,,,,,,,9.2,8.7,-3.8,13.9,4.4,8.3,7.4,-9.3,5,-6.4
Patriots,@Cowboys,5,NA,,,,,,,,,,,10.8,10.3,16.8,-4,13.7,11.8,10.8,13.5,3,22.1
Broncos,@Raiders,5,NA,,,,,,,,,,,3.1,4.8,-19.4,-6.3,-27.4,11,13.3,20,13.2,29.5
49ers,@Giants,5,NA,,,,,,,,,,,7.5,7,-0.3,-4.9,-5.8,7,9,-0.4,10.1,6.6
Steelers,@Chargers,5,NA,,,,,,,,,,,8,8,7,-4.9,-0.6,9.7,9.4,22.5,-11.3,12.1
Falcons,@Saints,6,NA,,,,,,,,,,,7.4,7.6,10.6,-13.1,-0.9,7.1,7.2,7.2,-15.7,-5.4
Redskins,@Jets,6,NA,,,,,,,,,,,4.8,5.9,-11.2,-3.5,-15.5,4.5,4.4,-11.8,-9.9,-27
Cardinals,@Steelers,6,NA,,,,,,,,,,,9.7,9.4,22.5,-11.3,12.1,8.3,7.4,-9.3,5,-6.4
Chiefs,@Vikings,6,NA,,,,,,,,,,,7.5,7.2,-7.4,-4.3,-8.7,10.1,9.4,5,-1.3,10.4
Bengals,@Bills,6,NA,,,,,,,,,,,9.6,9,-11.2,15.5,10.5,8.6,9,-1.4,2.3,5
Bears,@Lions,6,NA,,,,,,,,,,,9.2,8.7,-3.8,13.9,4.4,4.9,6.4,-0.1,-10.6,-13.8
Broncos,@Browns,6,NA,,,,,,,,,,,6.9,7.2,-10.2,3,-6.7,11,13.3,20,13.2,29.5
