,Home,Week,Winner,HDAVE,VDAVE,HOff,VOff,HDef,VDef,HTotal,VTotal,HSpec,VSpec,14HSpec,14VSpec,14HPyth,14HEst,14HOff,14HDef,14HTotal,14VPyth,14VEst,14VOff,14VDef,14VTotal
49ers,@Cardinals,3,1,27.7,-22.7,37.8,-21.9,32.3,-25.3,76.4,-51.4,6.3,-4.2,-2.1,-3.1,8.3,7.4,-9.3,5,-6.4,7,9,-0.4,10.1,6.6
Bills,@Dolphins,3,0,-13.3,8.2,-17.3,26.5,-11.3,-0.1,-27.9,28.8,0.7,2.4,-6.1,6.2,8.4,8.8,10.1,-0.5,3.5,9.6,9,-11.2,15.5,10.5
Bears,@Seahawks,3,1,17.3,-32.8,-4.1,-21.6,-3.4,-36,8.3,-70.2,15.8,-12.6,-1.7,-3.1,11.9,12.7,16.8,16.8,31.9,4.9,6.4,-0.1,-10.6,-13.8
Broncos,@Lions,3,0,-5,18.1,-14.9,-24.3,-4.8,39.6,-18.4,23,1.3,7.7,-5.7,-3.7,9.2,8.7,-3.8,13.9,4.4,11,13.3,20,13.2,29.5
Chiefs,@Packers,3,1,25.7,-2.3,42.8,-13.7,3.2,-2.5,51,-13.9,5,2.3,-2.4,6.7,11.2,10.8,24.7,1,23.3,10.1,9.4,5,-1.3,10.4
Ravens,@Steelers,4,NA,11.6,-1,32.8,-4.8,-3.7,-7.3,24.8,-9.8,-4.3,2.3,0.9,7.9,9.7,9.4,22.5,-11.3,12.1,10.9,11.5,9.4,4.6,21.9
Jets,@Dolphins,4,NA,-13.3,7.5,-17.3,-11.9,-11.3,34.5,-27.9,18.5,0.7,-4.1,-6.1,-0.8,8.4,8.8,10.1,-0.5,3.5,4.8,5.9,-11.2,-3.5,-15.5
Jaguars,@Colts,4,NA,-2.7,-21.4,-8.7,-11.2,-1.5,-15.7,-14.8,-29.3,-4.6,-2.4,3.3,-3.7,10.2,8.8,-1.1,2.3,4.5,3.6,3.3,-24.3,-1.5,-29.5
Giants,@Bills,4,NA,8.2,0.3,26.5,6.9,-0.1,-3.2,28.8,5.5,2.4,1.8,6.2,-0.6,9.6,9,-11.2,15.5,10.5,7.5,7,-0.3,-4.9,-5.8
Panthers,@Buccaneers,4,NA,-23.9,6.1,-38.4,10.7,2.1,21,-37.5,20.3,-1.2,-11.4,-0.9,-5.5,4.4,4.1,-26.3,-1.1,-28.3,7,7.4,-4.7,1.7,-8.5
Eagles,@Redskins,4,NA,-13.3,1.7,-4,-18.3,0.9,17.4,-3.8,-2.5,-0.7,-1.6,-5.3,8.4,4.5,4.4,-11.8,-9.9,-27,9.7,9.7,1.1,3.3,12.8
Raiders,@Bears,4,NA,-32.8,-4,-21.6,12.8,-36,-11.4,-70.2,5.1,-12.6,3.7,-3.1,-1.7,4.9,6.4,-0.1,-10.6,-13.8,3.1,4.8,-19.4,-6.3,-27.4
Texans,@Falcons,4,NA,7.7,-15.5,23.2,-17,-9.8,-1.2,14.7,-30.9,1.3,-12.7,3.1,-3.9,7.1,7.2,7.2,-15.7,-5.4,9.8,6.7,-6.8,6.2,-4.5
Chiefs,@Bengals,4,NA,18.2,-2.3,26.5,-13.7,11.8,-2.5,36,-13.9,-2.3,2.3,4.1,6.7,8.6,9,-1.4,2.3,5,10.1,9.4,5,-1.3,10.4
Browns,@Chargers,4,NA,-3.8,-15.2,-3.5,-22.9,-7.2,-10.8,-18.5,-23.1,-7.8,10.6,-2.7,0.5,8,8,7,-4.9,-0.6,6.9,7.2,-10.2,3,-6.7
Packers,@49ers,4,NA,-22.7,25.7,-21.9,42.8,-25.3,3.2,-51.4,51,-4.2,5,-3.1,-2.4,7,9,-0.4,10.1,6.6,11.2,10.8,24.7,1,23.3
Rams,@Cardinals,4,NA,27.7,4.6,37.8,-11.8,32.3,8.1,76.4,-0.5,6.3,3.2,-2.1,3.5,8.3,7.4,-9.3,5,-6.4,7.1,6.1,-11.1,3.8,-3.8
Vikings,@Broncos,4,NA,18.1,3.1,-24.3,3,39.6,-3.8,23,0.7,7.7,1.5,-3.7,3,11,13.3,20,13.2,29.5,7.5,7.2,-7.4,-4.3,-8.7
Cowboys,@Saints,4,NA,-12.7,-4.3,-4.9,4.1,-26.4,-3.8,-32.4,0.9,-1.1,0.6,1.6,0.9,7.4,7.6,10.6,-13.1,-0.9,10.8,10.3,16.8,-4,13.7
Lions,@Seahawks,4,NA,17.3,-5,-4.1,-14.9,-3.4,-4.8,8.3,-18.4,15.8,1.3,-1.7,-5.7,11.9,12.7,16.8,16.8,31.9,9.2,8.7,-3.8,13.9,4.4
Colts,@Texans,5,NA,,,,,,,,,,,-3.9,3.3,9.8,6.7,-6.8,6.2,-4.5,10.2,8.8,-1.1,2.3,4.5
Bears,@Chiefs,5,NA,,,,,,,,,,,6.7,-3.1,10.1,9.4,5,-1.3,10.4,4.9,6.4,-0.1,-10.6,-13.8
Seahawks,@Bengals,5,NA,,,,,,,,,,,4.1,-1.7,8.6,9,-1.4,2.3,5,11.9,12.7,16.8,16.8,31.9
Redskins,@Falcons,5,NA,,,,,,,,,,,3.1,-5.3,7.1,7.2,7.2,-15.7,-5.4,4.5,4.4,-11.8,-9.9,-27
Jaguars,@Buccaneers,5,NA,,,,,,,,,,,-0.9,-3.7,4.4,4.1,-26.3,-1.1,-28.3,3.6,3.3,-24.3,-1.5,-29.5
Saints,@Eagles,5,NA,,,,,,,,,,,8.4,1.6,9.7,9.7,1.1,3.3,12.8,7.4,7.6,10.6,-13.1,-0.9
Browns,@Ravens,5,NA,,,,,,,,,,,7.9,0.5,10.9,11.5,9.4,4.6,21.9,6.9,7.2,-10.2,3,-6.7
Rams,@Packers,5,NA,,,,,,,,,,,-2.4,3.5,11.2,10.8,24.7,1,23.3,7.1,6.1,-11.1,3.8,-3.8
Bills,@Titans,5,NA,,,,,,,,,,,-1.7,6.2,3.3,4,-16.4,-11.2,-29.3,9.6,9,-11.2,15.5,10.5
Cardinals,@Lions,5,NA,,,,,,,,,,,-5.7,-2.1,9.2,8.7,-3.8,13.9,4.4,8.3,7.4,-9.3,5,-6.4
Patriots,@Cowboys,5,NA,,,,,,,,,,,0.9,5.6,10.8,10.3,16.8,-4,13.7,11.8,10.8,13.5,3,22.1
Broncos,@Raiders,5,NA,,,,,,,,,,,-1.7,-3.7,3.1,4.8,-19.4,-6.3,-27.4,11,13.3,20,13.2,29.5
49ers,@Giants,5,NA,,,,,,,,,,,-0.6,-3.1,7.5,7,-0.3,-4.9,-5.8,7,9,-0.4,10.1,6.6
Steelers,@Chargers,5,NA,,,,,,,,,,,-2.7,0.9,8,8,7,-4.9,-0.6,9.7,9.4,22.5,-11.3,12.1
Falcons,@Saints,6,NA,,,,,,,,,,,1.6,3.1,7.4,7.6,10.6,-13.1,-0.9,7.1,7.2,7.2,-15.7,-5.4
Redskins,@Jets,6,NA,,,,,,,,,,,-0.8,-5.3,4.8,5.9,-11.2,-3.5,-15.5,4.5,4.4,-11.8,-9.9,-27
Cardinals,@Steelers,6,NA,,,,,,,,,,,0.9,-2.1,9.7,9.4,22.5,-11.3,12.1,8.3,7.4,-9.3,5,-6.4
Chiefs,@Vikings,6,NA,,,,,,,,,,,3,6.7,7.5,7.2,-7.4,-4.3,-8.7,10.1,9.4,5,-1.3,10.4
Bengals,@Bills,6,NA,,,,,,,,,,,6.2,4.1,9.6,9,-11.2,15.5,10.5,8.6,9,-1.4,2.3,5
Bears,@Lions,6,NA,,,,,,,,,,,-5.7,-3.1,9.2,8.7,-3.8,13.9,4.4,4.9,6.4,-0.1,-10.6,-13.8
Broncos,@Browns,6,NA,,,,,,,,,,,0.5,-3.7,6.9,7.2,-10.2,3,-6.7,11,13.3,20,13.2,29.5
Texans,@Jaguars,6,NA,,,,,,,,,,,-3.7,-3.9,3.6,3.3,-24.3,-1.5,-29.5,9.8,6.7,-6.8,6.2,-4.5
Dolphins,@Titans,6,NA,,,,,,,,,,,-1.7,-6.1,3.3,4,-16.4,-11.2,-29.3,8.4,8.8,10.1,-0.5,3.5
Panthers,@Seahawks,6,NA,,,,,,,,,,,-1.7,-5.5,11.9,12.7,16.8,16.8,31.9,7,7.4,-4.7,1.7,-8.5
Chargers,@Packers,6,NA,,,,,,,,,,,-2.4,-2.7,11.2,10.8,24.7,1,23.3,8,8,7,-4.9,-0.6
Ravens,@49ers,6,NA,,,,,,,,,,,-3.1,7.9,7,9,-0.4,10.1,6.6,10.9,11.5,9.4,4.6,21.9
Patriots,@Colts,6,NA,,,,,,,,,,,3.3,5.6,10.2,8.8,-1.1,2.3,4.5,11.8,10.8,13.5,3,22.1
Giants,@Eagles,6,NA,,,,,,,,,,,8.4,-0.6,9.7,9.7,1.1,3.3,12.8,7.5,7,-0.3,-4.9,-5.8
Seahawks,@49ers,7,NA,,,,,,,,,,,-3.1,-1.7,7,9,-0.4,10.1,6.6,11.9,12.7,16.8,16.8,31.9
Bills,@Jaguars,7,NA,,,,,,,,,,,-3.7,6.2,3.6,3.3,-24.3,-1.5,-29.5,9.6,9,-11.2,15.5,10.5
Buccaneers,@Redskins,7,NA,,,,,,,,,,,-5.3,-0.9,4.5,4.4,-11.8,-9.9,-27,4.4,4.1,-26.3,-1.1,-28.3
Falcons,@Titans,7,NA,,,,,,,,,,,-1.7,3.1,3.3,4,-16.4,-11.2,-29.3,7.1,7.2,7.2,-15.7,-5.4
